75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0
75,8,4,2,1,2,1,2,1,2
75,8,7,2,1,2,1,2,1,2
75,8,7,1,2,1,2,1,2,1
75,8,7,1,2,1,2,1,2,1
75,8,7,2,1,2,1,2,1,2
75,8,7,2,1,2,1,2,1,2
75,8,7,1,2,1,2,1,2,1
75,8,7,1,2,1,2,1,2,1
75,8,10,2,1,2,1,2,1,2
75,8,10,2,1,2,1,2,1,2
75,8,10,1,2,1,2,1,2,1
75,8,10,1,2,1,2,1,2,1
75,8,10,2,1,2,1,2,1,2
75,8,10,2,1,2,1,2,1,2
75,8,10,1,2,1,2,1,2,1
75,8,10,1,2,1,2,1,2,1
75,8,7,2,1,2,1,2,1,2
75,8,7,2,1,2,1,2,1,2
75,8,7,1,2,1,2,1,2,1
75,8,7,1,2,1,2,1,2,1
75,8,7,2,1,2,1,2,1,2
75,8,7,2,1,2,1,2,1,2
75,8,7,1,2,1,2,1,2,1
75,8,7,1,2,1,2,1,2,1
75,8,12,2,1,2,1,2,1,2
75,8,12,2,1,2,1,2,1,2
75,8,12,1,2,1,2,1,2,1
75,8,12,1,2,1,2,1,2,1
75,8,12,2,1,2,1,2,1,2
75,8,12,2,1,2,1,2,1,2
75,8,12,1,2,1,2,1,2,1
75,8,12,1,2,1,2,1,2,1
75,8,7,2,1,2,1,2,1,2
75,8,7,2,1,2,1,2,1,2
75,8,7,1,2,1,2,1,2,1
75,8,7,1,2,1,2,1,2,1
75,8,7,2,1,2,1,2,1,2
75,8,7,2,1,2,1,2,1,2
75,8,7,1,2,1,2,1,2,1
75,8,7,1,2,1,2,1,2,1
75,8,10,2,1,2,1,2,1,2
75,8,10,2,1,2,1,2,1,2
75,8,10,1,2,1,2,1,2,1
75,8,10,1,2,1,2,1,2,1
75,8,10,2,1,2,1,2,1,2
75,8,10,2,1,2,1,2,1,2
75,8,10,1,2,1,2,1,2,1
75,8,10,1,2,1,2,1,2,1
75,8,7,2,1,2,1,2,1,2
75,8,7,2,1,2,1,2,1,2
75,8,7,1,2,1,2,1,2,1
75,8,7,1,2,1,2,1,2,1
